Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Aiken, Christopher M; Navarrete, Sergio A; Castillo, Manuel I; Castilla, Juan Carlos; ",Along-shore larval dispersal kernels in a numerical ocean model of the central Chilean coast,Marine Ecology Progress Series,339,,13-24,2007,
"Molinet, Carlos; Valle-Levinson, Arnoldo; Moreno, Carlos A; Cáceres, Mario; Bello, Mónica; Castillo, Manuel; ",Effects of sill processes on the distribution of epineustonic competent larvae in a stratified system of Southern Chile,Marine Ecology Progress Series,324,,95-104,2006,
"Fierro, JUAN; Bravo, MAURICIO; Castillo, MANUEL; ",Caracterización del régimen de mareas y corrientes a lo largo del Canal Moraleda (43◦ 54’S-45◦ 17’S),Cienc. Tecnol. Mar,23,,3-14,2000,
"Cáceres, Mario; Valle-Levinson, Arnoldo; Fierro, Juan; Bello, Mónica; Castillo, Manuel; ",Variabilidad longitudinal del flujo en canales con influencia batimétrica y topográfica,Resultados Crucero Cimar,8,,17-24,2003,
"Cáceres, Mario; Valle-Levinson, Arnoldo; Fierro, Juan; Bello, Mónica; Castillo, Manuel; ",Características del flujo residual en canales pulluche y chacabuco.,Ciencia y Tecnología del Mar,30,2,1-23,2007,Comité Oceanográfico Nacional
"Aiken, Christopher M; Castillo, Manuel I; Navarrete, Sergio A; ","A simulation of the Chilean Coastal Current and associated topographic upwelling near Valparaíso, Chile",Continental Shelf Research,28,17,2371-2381,2008,Pergamon
"Cáceres, Mario; Valle-Levinson, Arnoldo; Molinet, Carlos; Castillo, Manuel; Bello, Monica; Moreno, Carlos; ",Lateral variability of flow over a sill in a channel of southern Chile,Ocean Dynamics,56,3,352-359,2006,Springer-Verlag Berlin/Heidelberg
"Valle–Levinson, A; Schneider, W; Sobarzo, M; Bello, M; Bravo, L; Castillo, M; Duarte, L; Fuenzalida, R; Gallegos, JM; Garcés–Vargas, J; ","Wind-induced exchange at the entrance to Concepción Bay, an equatorward facing embayment in central Chile",Deep Sea Research Part II: Topical Studies in Oceanography,51,20-21,2371-2388,2004,Pergamon
"Cáceres, Mario; Valle-Levinson, Arnoldo; Fierro, Juan; Bello, Mónica; Castillo, Manuel; CONA; ",Variabilidad transversal del flujo submareal en fiordos del mar interior de Chile,"CONA. Informe Preliminar, Crucero CIMAR",9,,25-35,2004,
"Tapia, Fabián J; Navarrete, Sergio A; Castillo, Manuel; Menge, Bruce A; Castilla, Juan C; Largier, John; Wieters, Evie A; Broitman, Bernardo L; Barth, John A; ",Thermal indices of upwelling effects on inner-shelf habitats,Progress in Oceanography,83,1-4,278-287,2009,Pergamon
"Castillo, Manuel; Bello, Mónica; Reyes, Hernán; Guerrero, Yenny; ",Patrones de corrientes y distribución vertical de temperatura y salinidad en la entrada oceánica del canal Darwin en invierno y primavera de 2002,Ciencia y Tecnología del Mar,29,2,5-21,2006,Comité Oceanográfico Nacional
"Bello, Mónica; Castillo, Manuel; Maturana, Jenny; Valenzuela, Claudia; Barbieri, M Angela; ",Featuring ENSO 1997-2000 in central Chile,Gayana (Concepción),68,2,48-53,2004,Universidad de Concepción. Facultad de Ciencias Naturales y Oceanográficas.
"Salinas, Sergio; Castillo, Manuel; Fierro, Juan; Letelier, Jaime; ",Control hidráulico y efecto del viento sobre el flujo en la constricción de Meninea,Ciencia y Tecnología del Mar,30,1,0,2007,Comité Oceanográfico Nacional
"Fierro, J; Castillo, M; Valenzuela, C; ",Propagación de la onda de marea en canales adyacentes a Campos de Hielo Sur,Ciencia y tecnología del mar (Valparaiso,26,1,5-14,2003,Comité Oceanográfico Nacional
"Bello, Mónica; Reyes, Hernán; Guerrero, Yenny; Castillo, Manuel; ","Patrones de corrientes, temperatura y salinidad en el área de Fiordos del Sur de Chile (Canales Darwin, Ninualac y Memory) durante invierno y primavera de 2002",Resultados Crucero Cimar,8,,33-40,2003,
"Valle-Levinson, A; Schneider, W; Sobarzo, M; Bello, M; Bravo, L; Castillo, M; Duarte, L; ",Observations of wind-induced exchange at the entrance of an equatorward facing embayment,Deep-Sea Res. II,51,,2371-2388,2004,
"SALINAS, S; FIERRO, J; CASTILLO, M; LETELIER, J; ",Tiempo de residencia y proceso de mezcla en la cuenca al sur de la constricción de Meninea: 33-37,Resultados Crucero CIMAR,7,,,2002,
"Venegas, RM; Giovannoni, S; Ulloa, O; Barth, JA; Chan, F; Lange, C; Farias, L; Mix, AC; Revsbech, NP; Pizarro, O; ",Microbial Initiative in Low Oxygen areas off Concepcion and Oregon(MI_LOCO) http://mi_loco. coas. oregonstate. edu,Proceedings from the 2010 AGU Ocean Sciences Meeting,,,,2010,"American Geophysical Union, 2000 Florida Ave., N. W. Washington DC 20009 USA,"
"CÁCERES, MARIO; VALLE-LEVINSON, ARNOLDO; FIERRO, JUAN; VALENZUELA, CLAUDIA; CASTILLO, MANUEL; ",Variabilidad transversal del flujo y de la densidad en la boca del Fiordo Aysén,Ciencia y Tecnología del Mar,33,1,5-15,2010,Comité Oceanográfico Nacional
"Cáceres, Mario; Valle-Levinson, Arnoldo; Fierro, Juan; Valenzuela, Claudia; Castillo, Manuel; ",2.4 VARIABILIDAD TRANSVERSAL DEL FLUJO Y DE LA DENSIDAD EN LA BOCA DEL SENO AYSÉN,,,,,2002,
"Castillo, Manuel I; Pizarro, Oscar; Cifuentes, Ursula; Ramirez, Nadin; Djurfeldt, Leif; ",Subtidal dynamics in a deep fjord of southern Chile,Continental Shelf Research,49,,73-89,2012,Pergamon
"SALInAS, SERGIo; CASTILLO, MANUEL; ",Caracterización de las corrientes mareales y submareales en canal desertores (42º 42’s; 72º 50’w),Ciencia y Tecnología del Mar,35,,7-20,2012,Comité Oceanográfico Nacional
"Tapia, Fabian J; Largier, John L; Castillo, Manuel; Wieters, Evie A; Navarrete, Sergio A; ",Latitudinal discontinuity in thermal conditions along the nearshore of central-northern Chile,PLoS One,9,10,e110841,2014,Public Library of Science
"Castillo, Manuel; Valenzuela, Claudia; ",Circulation regime in the austral Chilean channels and fjords,,,,,2006,N. Silva & S. Palma
"Pizarro, Oscar; Ramirez, Nadin; Rojas, Winston; Castillo, Manuel; ",CIRCULATION OVER THE CONTINENTAL SHELF OFF CENTRAL CHILE,,,,,,
"Pizarro, Oscar; Ramírez, Nadin; Castillo, Manuel I; Cifuentes, Ursula; Rojas, Winston; Pizarro-Koch, Matias; ",Underwater glider observations in the oxygen minimum zone off central Chile,Bulletin of the American Meteorological Society,97,10,1783-1789,2016,
"Castillo, M. I.; Cifuentes, U.; Pizarro, O.; Djurfeldt, L.; Cáceres, M.; ","Seasonal hydrography and surface outflow in a fjord with a deep sill: the Reloncaví fjord, Chile",Ocean Science,12,,533-544,2016,O. Zielinski
"Castillo, Manuel I.; Pizarro, Oscar; Ramirez, Nadin; Caceres, Mario; ",Seiche excitation in a highly stratified fjord of southern Chile: the Reloncaví fjord,Ocean Science,13,,145-160,2017,Mario Hoppema
"Contreras, Jorge E; Rodriguez‐Valentino, Camilo; Landaeta, Mauricio F; Plaza, Guido; Castillo, Manuel I; Alvarado‐Niño, Mónica; ","Growth and mortality of larval anchoveta Engraulis ringens, in northern Chile during winter and their relationship with coastal hydrographic conditions",Fisheries Oceanography,26,6,603-614,2017,
"Pérez-Santos, Iván; Silvan, Nelson; Castillo, Manuel; Mayorga, Nicolas; Schneider, Wolfgang; Montero, Paulina; Daneri, Giovanni; Valle-Levinson, Arnoldo; Pizarro, Oscar; Ramirez, Nadín; ","Deep ventilation process in Patagonian fjord, Chile",EGU General Assembly Conference Abstracts,,,5168,2017,
"Castillo, Manuel; ",Ciclos El Niño/La Niña. Período 1991-2000 y su influencia en las costas norte y central de Chile,Anuario Shoa,55,,1-8,2003,
"Díaz-Astudillo, Macarena; Castillo, Manuel I; Cáceres, Mario A; Plaza, Guido; Landaeta, Mauricio F; ",Oceanographic and lunar forcing affects nearshore larval fish assemblages from temperate rocky reefs,Marine Biology Research,13,10,1015-1026,2017,Taylor & Francis
"Castillo, Manuel; Valenzuela, Claudia; ",4.2 Régimen de circulación en canales y fiordos australes,"Silva, N., Palma, S.(Eds.), Avances En El Conocimiento Oceanográfic o De Las Aguas Interiores chilenas, Puerto Montt a Cabo de Hornos. Comit e Oceanográfico Nacional",,,,2006,
"Rojas, Winston; Pizarro, Oscar; Castillo, Manuel; Pérez-Santos, Iván; ",FLUJO SOBRE EL UMBRAL DEL CANAL JACAF,,,,,,
"Castillo, Manuel I; ",Exchanges in a deep fjord of southern Chile: local and remote mechanisms,,,,,,
"Castillo, Manuel I; Rodríguez, Naity; Pizarro, Óscar; Muñoz, Mario Cáceres; ",EFECTO DEL VIENTO SOBRE LA CIRCULACIÓN DE DOS FIORDOS PROFUNDOS: RELONCAVÍ Y AYSÉN,,,,,,
"Rodríguez-Valentino, Camilo; Landaeta, Mauricio F; Plaza, Guido; Cubillos, Luis A; Castillo, Manuel I; ","Early life history traits of common sardine, Strangomera bentincki (Osteichthyes: Clupeidae) estimated by otolith microstructure analysis",Journal of Sea Research,142,,21-27,2018,Elsevier
"Pérez-Santos, Iván; Castro, Leonardo; Ross, Lauren; Niklitschek, Edwin; Mayorga, Nicolás; Cubillos, Luis; Gutierrez, Mariano; Escalona, Eduardo; Castillo, Manuel; Alegría, Nicolás; ",Turbulence and hypoxia contribute to dense biological scattering layers in a Patagonian fjord system,Ocean Science,14,5,1185-1206,2018,Copernicus GmbH
"Bustos, Claudia A; Landaeta, Mauricio F; Gilante, Hippolyte; Castillo, Manuel I; ",2.4 INFLUENCIA DE DESCARGAS FLUVIALES Y DESHIELOS GLACIARES EN EL CRECIMIENTO EMBRIONAL Y LARVAL DE PECES MARINOS: ESCENARIOS DE CAMBIO CLIMÁTICO,CIMAR 23-FIORDOS,,,48,2018,
"Díaz-Astudillo, Macarena; Landaeta, Mauricio F; Bernal-Durán, Valentina; Castillo, Manuel I; Alvarado-Niño, Mónica; Alarcón, Darly; ",The influence of regional and local oceanography in early stages of marine fishes from temperate rocky reefs,Marine Biology,166,4,42,2019,Springer Berlin Heidelberg Berlin/Heidelberg
"Landaeta, Mauricio F; Bernal-Durán, Valentina; Castillo, Manuel I; Díaz-Astudillo, Macarena; Fernández-General, Bastián; Núñez-Acuña, Pilar; ",Nearshore environmental conditions influence larval growth and shape changes for a temperate rocky reef fish,Hydrobiologia,839,1,159-176,2019,Springer International Publishing Cham
"Molina-Valdivia, Victor; Landaeta, Mauricio F; Castillo, Manuel I; Alarcón, Darly; Plaza, Guido; ",Short-term variations in the early life history traits of common sardine Strangomera bentincki and anchoveta Engraulis ringens off central Chile,Fisheries Research,224,,105460,2020,Elsevier
