% Tiempo en UTC
% *Espacios sin datos estan marcados con NaN (not a number)
%año  mes dia hora min sec BV(volts) Temp DO Q
%
2024  1 24 23 11  0 3.13 7.978 11.138 0.995
2024  1 24 23 21  0 3.13 7.864 11.156 0.995
2024  1 24 23 31  0 3.13 7.750 11.180 0.995
2024  1 24 23 41  0 3.13 7.712 11.189 0.995
2024  1 24 23 51  0 3.13 7.674 11.195 0.994
2024  1 25  0  1  0 3.13 7.778 11.174 0.995
2024  1 25  0 11  0 3.13 7.778 11.171 0.995
2024  1 25  0 21  0 3.13 7.740 11.160 0.995
2024  1 25  0 31  0 3.13 7.445 11.216 0.994
2024  1 25  0 41  0 3.13 7.388 11.245 0.994
2024  1 25  0 51  0 3.13 7.368 11.257 0.994
2024  1 25  1  1  0 3.13 7.378 11.249 0.994
2024  1 25  1 11  0 3.13 7.454 11.231 0.994
2024  1 25  1 21  0 3.13 7.483 11.218 0.994
2024  1 25  1 31  0 3.13 7.502 11.212 0.994
2024  1 25  1 41  0 3.13 7.493 11.211 0.994
2024  1 25  1 51  0 3.13 7.502 11.210 0.994
2024  1 25  2  1  0 3.13 7.407 11.241 0.994
2024  1 25  2 11  0 3.13 7.454 11.232 0.994
2024  1 25  2 21  0 3.13 7.579 11.191 0.994
2024  1 25  2 31  0 3.13 7.664 11.172 0.994
2024  1 25  2 41  0 3.13 7.702 11.154 0.994
2024  1 25  2 51  0 3.13 7.731 11.159 0.994
2024  1 25  3  1  0 3.13 7.826 11.133 0.994
2024  1 25  3 11  0 3.13 7.835 11.119 0.994
2024  1 25  3 21  0 3.13 7.816 11.129 0.994
2024  1 25  3 31  0 3.13 7.816 11.121 0.994
2024  1 25  3 41  0 3.13 7.797 11.124 0.993
2024  1 25  3 51  0 3.13 7.702 11.149 0.994
2024  1 25  4  1  0 3.13 7.263 11.240 0.994
2024  1 25  4 11  0 3.13 6.607 11.408 0.993
2024  1 25  4 21  0 3.13 6.051 11.575 0.994
2024  1 25  4 31  0 3.13 5.648 11.686 0.993
2024  1 25  4 41  0 3.13 5.221 11.816 0.993
2024  1 25  4 51  0 3.13 4.911 11.911 0.993
2024  1 25  5  1  0 3.13 5.051 11.889 0.993
2024  1 25  5 11  0 3.13 4.981 11.907 0.993
2024  1 25  5 21  0 3.13 4.901 11.922 0.993
2024  1 25  5 31  0 3.13 4.731 11.954 0.993
2024  1 25  5 41  0 3.13 4.620 11.995 0.993
2024  1 25  5 51  0 3.13 4.468 12.081 0.993
2024  1 25  6  1  0 3.13 4.751 11.982 0.993
2024  1 25  6 11  0 3.13 5.121 11.886 0.993
2024  1 25  6 21  0 3.13 5.549 11.749 0.993
2024  1 25  6 31  0 3.13 5.884 11.673 0.994
2024  1 25  6 41  0 3.13 6.296 11.550 0.993
2024  1 25  6 51  0 3.13 6.510 11.475 0.994
