% Tiempo en UTC
% *Espacios sin datos estan marcados con NaN (not a number)
%año  mes dia hora min sec BV(volts) Temp DO Q
%
2025  1 15 18  5  0 2.82 17.459 9.078 1.004
2025  1 15 18 10  0 2.82 17.340 9.164 1.004
2025  1 15 18 15  0 2.82 17.594 9.114 1.004
2025  1 15 18 20  0 2.82 17.636 9.097 1.005
2025  1 15 18 25  0 2.82 17.814 9.079 1.005
2025  1 15 18 30  0 2.83 18.050 9.040 1.005
2025  1 15 18 35  0 2.83 18.059 9.026 1.004
2025  1 15 18 40  0 2.83 18.084 9.045 1.005
2025  1 15 18 45  0 2.83 18.152 9.033 1.005
2025  1 15 18 50  0 2.83 18.084 9.050 1.005
2025  1 15 18 55  0 2.83 18.067 9.042 1.004
2025  1 15 19  0  0 2.83 18.025 9.052 1.006
2025  1 15 19  5  0 2.83 18.480 -3.596 0.000
2025  1 15 19 10  0 2.83 19.363 9.606 0.241
2025  1 15 19 15  0 2.83 18.951 8.641 1.003
2025  1 15 19 20  0 2.83 17.560 8.978 1.004
2025  1 15 19 25  0 2.83 16.500 -3.828 0.000
2025  1 15 19 30  0 2.83 16.031 9.165 1.003
2025  1 15 19 35  0 2.83 14.111 9.510 1.003
2025  1 15 19 40  0 2.84 12.622 9.945 1.006
2025  1 15 19 45  0 2.84 11.939 10.144 1.005
2025  1 15 19 50  0 2.84 11.196 10.289 1.005
2025  1 15 19 55  0 2.84 10.180 10.500 1.006
2025  1 15 20  0  0 2.84 9.436 10.677 1.006
2025  1 15 20  5  0 2.84 8.926 10.726 1.006
2025  1 15 20 10  0 2.85 7.864 11.044 1.006
2025  1 15 20 15  0 2.84 8.805 10.813 1.005
2025  1 15 20 20  0 2.84 9.205 10.733 1.006
2025  1 15 20 25  0 2.84 9.316 10.937 1.009
2025  1 15 20 30  0 2.84 9.584 10.686 1.005
2025  1 15 20 35  0 2.85 9.066 10.780 1.006
2025  1 15 20 40  0 2.84 8.646 10.939 1.006
2025  1 15 20 45  0 2.84 8.749 10.928 1.006
2025  1 15 20 50  0 2.84 8.926 10.881 1.006
2025  1 15 20 55  0 2.84 9.066 10.839 1.006
