
file name: C:\Users\Manuel\Dropbox\01tesistas\2024.ConstanzaEscobedo\data\mareas\harmo_greg2.txt
fecha: 25-Dec-2024
nobs = 131040,  nbueno = 129184,  largo del registro (dias) = 91.00
inicio : 01-May-2024 00:00:02
criterio rayleigh = 1.0
correccion nodal aplicada a la amplitud y fase relativa al tiempo central

x0= 429.092, x tendencia=  0.000

var(x)= 11311.3764   var(xp)= 11027.1246   var(xres)= 284.2517
porcentaje de varianza predicho= 97.5 %

     Amplitud y fase de marea  con 95% CI estimado

tide   freq       amp     amp_err    pha    pha_err     snr
MM    0.00151    4.9855    1.620   319.25    18.62      9.5
MSF   0.00282    3.2836    1.620   217.45    28.27      4.1
ALP1  0.03440    0.5079    0.087   356.90     8.28       34
2Q1   0.03571    0.5676    0.087     7.12     7.45       42
Q1    0.03722    4.7311    0.087    55.38     0.90  2.9e+03
O1    0.03873   23.9630    0.087    78.71     0.18  7.6e+04
NO1   0.04027    0.5172    0.087   168.67     6.09       35
K1    0.04178   37.1666    0.087   128.71     0.12  1.8e+05
J1    0.04329    1.2625    0.087   227.82     3.46  2.1e+02
OO1   0.04483    0.5926    0.087   274.14     4.35       46
UPS1  0.04634    0.3250    0.087   319.36     8.45       14
EPS2  0.07618    1.0436    0.014   290.09     0.79  5.6e+03
MU2   0.07769    1.8277    0.014   337.36     0.45  1.7e+04
N2    0.07900   32.0548    0.014     2.33     0.03  5.3e+06
M2    0.08051  135.9783    0.014    40.31     0.01  9.5e+07
L2    0.08202    4.6100    0.014    60.78     0.29  1.1e+05
S2    0.08333   16.6595    0.014   102.97     0.05  1.4e+06
ETA2  0.08507    0.3682    0.014   206.10     1.46  6.9e+02
MO3   0.11924    2.8954    0.006   356.95     0.11    2e+05
M3    0.12077    1.7779    0.006   128.56     0.22  7.5e+04
MK3   0.12229    2.7570    0.006    76.12     0.13  1.8e+05
SK3   0.12511    3.1121    0.006   272.70     0.11  2.3e+05
MN4   0.15951    7.2547    0.005   328.00     0.04  2.5e+06
M4    0.16102   22.2084    0.005     9.01     0.01  2.4e+07
SN4   0.16233    2.0823    0.005    62.73     0.13  2.1e+05
MS4   0.16384    7.0112    0.005    62.95     0.04  2.4e+06
S4    0.16667    1.6447    0.005   170.32     0.16  1.3e+05
2MK5  0.20280    1.3719    0.004    18.14     0.18  9.4e+04
2SK5  0.20845    0.2199    0.004   204.67     1.05  2.4e+03
2MN6  0.24002    5.5736    0.004   324.98     0.05  1.9e+06
M6    0.24153   10.1514    0.004   359.69     0.03  6.2e+06
2MS6  0.24436    5.1421    0.004    57.35     0.05  1.6e+06
2SM6  0.24718    0.2877    0.004   117.90     0.84    5e+03
3MK7  0.28331    0.1654    0.003    36.96     1.11  2.7e+03
M8    0.32205    1.9616    0.003   334.22     0.11  3.6e+05
