
file name: C:\Users\Manuel\Dropbox\01tesistas\2024.ConstanzaEscobedo\data\mareas\harmo_ptar.txt
fecha: 25-Dec-2024
nobs = 131041,  nbueno = 124372,  largo del registro (dias) = 91.00
inicio : 01-May-2024
criterio rayleigh = 1.0
correccion nodal aplicada a la amplitud y fase relativa al tiempo central

x0= 264.610, x tendencia=  0.000

var(x)= 3049.2844   var(xp)= 2707.645   var(xres)= 341.6395
porcentaje de varianza predicho= 88.8 %

     Amplitud y fase de marea  con 95% CI estimado

tide   freq       amp     amp_err    pha    pha_err     snr
MM    0.00151    5.6987    1.976   314.14    19.87      8.3
MSF   0.00282    3.5867    1.976   209.54    31.57      3.3
ALP1  0.03440    0.7505    0.045   342.17     2.89  2.8e+02
2Q1   0.03571    0.2014    0.045    38.79    10.84       20
Q1    0.03722    4.4225    0.045    50.77     0.50  9.7e+03
O1    0.03873   22.8200    0.045    75.89     0.10  2.6e+05
NO1   0.04027    0.5721    0.045   181.46     2.84  1.6e+02
K1    0.04178   37.0932    0.045   122.34     0.06  6.8e+05
J1    0.04329    1.2030    0.045   188.19     1.87  7.1e+02
OO1   0.04483    0.3598    0.045   256.64     3.70       64
UPS1  0.04634    0.2886    0.045   321.76     4.91       41
EPS2  0.07618    0.9480    0.006   232.94     0.37  2.6e+04
MU2   0.07769    3.0260    0.006   257.42     0.12  2.6e+05
N2    0.07900    6.9408    0.006    55.91     0.05  1.4e+06
M2    0.08051   53.3504    0.006   110.17     0.01  8.1e+07
L2    0.08202    5.0796    0.006   146.97     0.11  7.4e+05
S2    0.08333   14.1584    0.006   204.86     0.02  5.7e+06
ETA2  0.08507    0.7517    0.006   252.20     0.30  1.6e+04
MO3   0.11924    0.5758    0.003   137.95     0.26  3.7e+04
M3    0.12077    0.4536    0.003   288.32     0.40  2.3e+04
MK3   0.12229    0.2221    0.003   184.98     0.72  5.5e+03
SK3   0.12511    0.5796    0.003    92.09     0.26  3.8e+04
MN4   0.15951    0.1591    0.004    20.46     1.57  1.5e+03
M4    0.16102    0.1834    0.004    86.16     1.36  2.1e+03
SN4   0.16233    0.0880    0.004    87.10     2.73  4.7e+02
MS4   0.16384    0.1443    0.004    67.99     1.66  1.3e+03
S4    0.16667    0.1095    0.004   241.87     2.11  7.3e+02
2MK5  0.20280    0.0792    0.002   304.87     1.46  1.4e+03
2SK5  0.20845    0.0535    0.002   255.79     2.00  6.6e+02
2MN6  0.24002    3.1838    0.004    49.02     0.08  5.9e+05
M6    0.24153    5.9140    0.004    87.67     0.04    2e+06
2MS6  0.24436    2.8285    0.004   146.56     0.09  4.6e+05
2SM6  0.24718    0.1776    0.004   156.85     1.38  1.8e+03
3MK7  0.28331    0.0967    0.002   110.39     1.43  1.6e+03
M8    0.32205    0.7761    0.002   112.36     0.16  1.7e+05
