
file name: C:\Users\Manuel\Dropbox\01tesistas\2024.ConstanzaEscobedo\data\mareas\harmo_pwil2.txt
fecha: 25-Dec-2024
nobs = 131040,  nbueno = 116390,  largo del registro (dias) = 91.00
inicio : 01-May-2024 00:00:43
criterio rayleigh = 1.0
correccion nodal aplicada a la amplitud y fase relativa al tiempo central

x0= 209.601, x tendencia=  0.000

var(x)= 2525.5446   var(xp)= 2160.2021   var(xres)= 365.3425
porcentaje de varianza predicho= 85.5 %

     Amplitud y fase de marea  con 95% CI estimado

tide   freq       amp     amp_err    pha    pha_err     snr
MM    0.00151    4.1864    2.080   264.04    28.47      4.1
MSF   0.00282    5.0271    2.080   166.88    23.71      5.8
ALP1  0.03440    0.1201    0.037    55.26    15.02       10
2Q1   0.03571    0.2584    0.037   307.25     7.02       48
Q1    0.03722    3.3681    0.037    28.27     0.54  8.1e+03
O1    0.03873   15.7443    0.037    54.85     0.12  1.8e+05
NO1   0.04027    0.2311    0.037   189.22     5.85       38
K1    0.04178   23.3872    0.037   102.93     0.08  3.9e+05
J1    0.04329    1.1416    0.037   184.70     1.64  9.3e+02
OO1   0.04483    0.2104    0.037   236.81     5.25       32
UPS1  0.04634    0.3999    0.037   272.19     2.95  1.1e+02
EPS2  0.07618    0.4240    0.018   106.13     2.45  5.8e+02
MU2   0.07769    1.1832    0.018   205.36     0.89  4.5e+03
N2    0.07900   13.2801    0.018   201.59     0.08  5.7e+05
M2    0.08051   56.8378    0.018   241.97     0.02    1e+07
L2    0.08202    1.7406    0.018   295.08     0.97  9.7e+03
S2    0.08333    5.2637    0.018   264.41     0.19  8.9e+04
ETA2  0.08507    0.2346    0.018   221.33     2.90  1.8e+02
MO3   0.11924    0.2553    0.017   309.79     3.38  2.2e+02
M3    0.12077    0.5287    0.017   278.15     1.95  9.6e+02
MK3   0.12229    0.3137    0.017   311.48     2.90  3.4e+02
SK3   0.12511    2.0194    0.017    34.22     0.43  1.4e+04
MN4   0.15951    0.7820    0.007   150.88     0.58  1.1e+04
M4    0.16102    1.0942    0.007   129.40     0.41  2.2e+04
SN4   0.16233    0.5305    0.007   193.05     0.82  5.2e+03
MS4   0.16384    0.5186    0.007   178.10     0.84    5e+03
S4    0.16667    0.5192    0.007   238.73     0.81    5e+03
2MK5  0.20280    1.2496    0.009   312.57     0.38  2.1e+04
2SK5  0.20845    0.6022    0.009   357.35     0.74  4.9e+03
2MN6  0.24002    0.5234    0.006   342.35     0.76  7.2e+03
M6    0.24153    1.0749    0.006    37.33     0.37    3e+04
2MS6  0.24436    0.5258    0.006   106.59     0.72  7.2e+03
2SM6  0.24718    0.2496    0.006   166.70     1.47  1.6e+03
3MK7  0.28331    0.0897    0.005   311.77     3.24  3.1e+02
M8    0.32205    0.4637    0.004   214.63     0.58  1.3e+04
