
file name: C:\Users\Manuel\Dropbox\01tesistas\2024.ConstanzaEscobedo\data\mareas\harmo_NKE.txt
fecha: 26-Dec-2024
nobs = 21963,  nbueno = 21963,  largo del registro (dias) = 152.52
inicio : 25-Jan-2024 08:29:55
criterio rayleigh = 1.0
correccion nodal aplicada a la amplitud y fase relativa al tiempo central

x0= 153.255, x tendencia=  0.000

var(x)= 4038.0993   var(xp)= 3083.2163   var(xres)= 954.883
porcentaje de varianza predicho= 76.4 %

     Amplitud y fase de marea  con 95% CI estimado

tide   freq       amp     amp_err    pha    pha_err     snr
MM    0.00151    1.8622    1.858   285.65    57.16        1
MSF   0.00282    2.6929    1.858    82.62    39.53      2.1
ALP1  0.03440    0.4801    0.745    64.08    74.78     0.41
2Q1   0.03571    1.3308    0.745   344.38    26.90      3.2
Q1    0.03722    4.8683    0.745    38.54     7.43       43
O1    0.03873   21.6966    0.745    66.82     1.68  8.5e+02
NO1   0.04027    0.9321    0.745    91.18    29.56      1.6
K1    0.04178   30.5019    0.745   112.64     1.26  1.7e+03
J1    0.04329    1.0113    0.745   179.38    36.30      1.8
OO1   0.04483    0.3022    0.745   233.70    73.95     0.16
UPS1  0.04634    0.1107    0.745    21.36   213.01    0.022
EPS2  0.07618    4.1396    2.351   189.29    32.88      3.1
MU2   0.07769    5.2443    2.351   236.09    26.50        5
N2    0.07900   12.9037    2.351    43.38    10.85       30
M2    0.08051   59.3283    2.351    89.52     2.35  6.4e+02
L2    0.08202    6.1513    2.351   132.43    34.00      6.8
S2    0.08333   28.6819    2.351   171.31     4.69  1.5e+02
ETA2  0.08507    0.8259    2.351    22.47   107.43     0.12
MO3   0.11924    0.5080    0.108   110.38    10.76       22
M3    0.12077    0.4931    0.108   247.23    13.24       21
MK3   0.12229    0.5943    0.108   211.19     9.69       30
SK3   0.12511    0.7462    0.108    26.84     7.44       48
MN4   0.15951    1.9837    0.390    79.85    12.13       26
M4    0.16102    3.0809    0.390   129.18     7.79       62
SN4   0.16233    0.7303    0.390   301.46    31.75      3.5
MS4   0.16384    2.7240    0.390   160.72     8.48       49
S4    0.16667    0.1787    0.390   346.82   124.59     0.21
2MK5  0.20280    0.0625    0.076   110.33    66.99     0.68
2SK5  0.20845    0.0777    0.076   150.29    50.03      1.1
2MN6  0.24002    2.1769    0.434   123.67    12.75       25
M6    0.24153    0.8127    0.434   256.12    34.03      3.5
2MS6  0.24436    2.7148    0.434   215.99     9.81       39
2SM6  0.24718    1.0364    0.434   257.00    24.76      5.7
3MK7  0.28331    0.0284    0.063   166.79   126.71      0.2
M8    0.32205    0.1129    0.046    22.13    26.77      6.1
