
file name: C:\Users\Manuel\Dropbox\01tesistas\2024.ConstanzaEscobedo\data\mareas\harmo_greg2.txt
fecha: 25-Dec-2024
nobs = 129600,  nbueno = 126669,  largo del registro (dias) = 90.00
inicio : 01-Jan-2024 00:00:03
criterio rayleigh = 1.0
correccion nodal aplicada a la amplitud y fase relativa al tiempo central

x0= 439.553, x tendencia=  0.000

var(x)= 10823.1744   var(xp)= 10478.3271   var(xres)= 344.8474
porcentaje de varianza predicho= 96.8 %

     Amplitud y fase de marea  con 95% CI estimado

tide   freq       amp     amp_err    pha    pha_err     snr
MM    0.00151    2.7516    1.292   348.86    26.91      4.5
MSF   0.00282    0.8439    1.292   192.79    87.75     0.43
ALP1  0.03440    0.5813    0.127   154.49    10.48       21
2Q1   0.03571    1.1801    0.127    59.14     5.12       87
Q1    0.03722    5.8425    0.127    69.54     1.05  2.1e+03
O1    0.03873   24.6614    0.127    80.30     0.25  3.8e+04
NO1   0.04027    2.1487    0.127   147.38     2.25  2.9e+02
K1    0.04178   29.2366    0.127   140.40     0.22  5.3e+04
J1    0.04329    0.5044    0.127   227.79    12.22       16
OO1   0.04483    1.1304    0.127   246.97     3.42       80
UPS1  0.04634    0.0989    0.127   306.28    40.81     0.61
EPS2  0.07618    1.7922    0.021   254.30     0.67  7.3e+03
MU2   0.07769    8.3901    0.021   308.43     0.15  1.6e+05
N2    0.07900   39.0837    0.021     9.12     0.03  3.5e+06
M2    0.08051  132.6733    0.021    39.40     0.01    4e+07
L2    0.08202    9.2872    0.021    67.85     0.18    2e+05
S2    0.08333   26.4565    0.021   122.76     0.05  1.6e+06
ETA2  0.08507    0.4012    0.021   325.80     1.95  3.7e+02
MO3   0.11924    2.1615    0.017   354.72     0.40  1.6e+04
M3    0.12077    1.7056    0.017   122.47     0.60    1e+04
MK3   0.12229    3.0729    0.017   115.18     0.29  3.3e+04
SK3   0.12511    0.3965    0.017   329.68     2.19  5.5e+02
MN4   0.15951    9.1566    0.013   352.04     0.09  5.2e+05
M4    0.16102   21.1485    0.013    14.37     0.04  2.8e+06
SN4   0.16233    0.4890    0.013   301.98     1.54  1.5e+03
MS4   0.16384   12.3484    0.013    84.19     0.06  9.4e+05
S4    0.16667    0.5147    0.013     6.40     1.41  1.6e+03
2MK5  0.20280    0.1855    0.007    48.23     2.03  7.4e+02
2SK5  0.20845    0.2447    0.007   219.95     1.43  1.3e+03
2MN6  0.24002    6.3438    0.010   331.68     0.10  4.2e+05
M6    0.24153    8.5289    0.010     0.26     0.07  7.6e+05
2MS6  0.24436    7.9635    0.010    79.63     0.08  6.7e+05
2SM6  0.24718    2.0654    0.010   123.90     0.28  4.5e+04
3MK7  0.28331    0.4840    0.005    65.26     0.55  1.1e+04
M8    0.32205    1.9175    0.005   316.54     0.16  1.7e+05
