
file name: C:\Users\Manuel\Dropbox\01tesistas\2024.ConstanzaEscobedo\data\mareas\harmo_ptar.txt
fecha: 25-Dec-2024
nobs = 129601,  nbueno = 94609,  largo del registro (dias) = 90.00
inicio : 01-Jan-2024
criterio rayleigh = 1.0
correccion nodal aplicada a la amplitud y fase relativa al tiempo central

x0= 273.521, x tendencia=  0.000

var(x)= 2489.667   var(xp)= 2253.4868   var(xres)= 236.1803
porcentaje de varianza predicho= 90.5 %

     Amplitud y fase de marea  con 95% CI estimado

tide   freq       amp     amp_err    pha    pha_err     snr
MM    0.00151    9.3968    1.596   335.38     9.73       35
MSF   0.00282    2.7994    1.596   135.54    32.66      3.1
ALP1  0.03440    0.5710    0.049    22.88     4.15  1.3e+02
2Q1   0.03571    1.4617    0.049    31.89     1.61  8.8e+02
Q1    0.03722    5.2292    0.049    56.42     0.46  1.1e+04
O1    0.03873   22.3889    0.049    78.59     0.11  2.1e+05
NO1   0.04027    2.0300    0.049   169.63     0.92  1.7e+03
K1    0.04178   27.4153    0.049   134.80     0.09  3.1e+05
J1    0.04329    1.0035    0.049   150.16     2.39  4.2e+02
OO1   0.04483    0.7329    0.049   234.34     2.05  2.2e+02
UPS1  0.04634    0.5312    0.049   293.28     2.95  1.2e+02
EPS2  0.07618    3.0457    0.006   225.59     0.12  2.2e+05
MU2   0.07769    4.9931    0.006   256.82     0.08  5.9e+05
N2    0.07900    9.2362    0.006    77.90     0.04    2e+06
M2    0.08051   48.0654    0.006   111.26     0.01  5.5e+07
L2    0.08202   10.2866    0.006   173.26     0.05  2.5e+06
S2    0.08333   25.2423    0.006   219.43     0.01  1.5e+07
ETA2  0.08507    0.9253    0.006   357.17     0.26    2e+04
MO3   0.11924    0.4728    0.003   102.24     0.31  2.6e+04
M3    0.12077    0.4261    0.003   249.90     0.42  2.1e+04
MK3   0.12229    0.1422    0.003   203.53     1.10  2.4e+03
SK3   0.12511    0.1148    0.003   127.87     1.32  1.5e+03
MN4   0.15951    0.1268    0.004    78.71     1.99  9.6e+02
M4    0.16102    0.3763    0.004    97.80     0.67  8.4e+03
SN4   0.16233    0.1050    0.004    76.61     2.32  6.6e+02
MS4   0.16384    0.3296    0.004   100.69     0.74  6.5e+03
S4    0.16667    0.0961    0.004   130.19     2.44  5.5e+02
2MK5  0.20280    0.0998    0.002   227.57     1.37  1.6e+03
2SK5  0.20845    0.0828    0.002   221.89     1.54  1.1e+03
2MN6  0.24002    3.5766    0.005    55.21     0.09  4.9e+05
M6    0.24153    4.8166    0.005    82.78     0.07    9e+05
2MS6  0.24436    4.0452    0.005   160.12     0.08  6.3e+05
2SM6  0.24718    0.8378    0.005   224.85     0.36  2.7e+04
3MK7  0.28331    0.1607    0.003   260.30     1.01  3.2e+03
M8    0.32205    0.6236    0.002    97.92     0.23  7.8e+04
