
file name: C:\Users\Manuel\Dropbox\01tesistas\2024.ConstanzaEscobedo\data\mareas\harmo_pwil2.txt
fecha: 25-Dec-2024
nobs = 129600,  nbueno = 116108,  largo del registro (dias) = 90.00
inicio : 01-Jan-2024 00:00:43
criterio rayleigh = 1.0
correccion nodal aplicada a la amplitud y fase relativa al tiempo central

x0= 218.036, x tendencia=  0.000

var(x)= 2186.0668   var(xp)= 1925.0792   var(xres)= 260.9876
porcentaje de varianza predicho= 88.1 %

     Amplitud y fase de marea  con 95% CI estimado

tide   freq       amp     amp_err    pha    pha_err     snr
MM    0.00151    3.5829    1.484    24.99    23.73      5.8
MSF   0.00282    1.2457    1.484   302.32    68.26      0.7
ALP1  0.03440    0.5075    0.050   294.15     4.78    1e+02
2Q1   0.03571    1.1435    0.050    41.90     2.10  5.1e+02
Q1    0.03722    3.4944    0.050    30.30     0.70  4.8e+03
O1    0.03873   16.3013    0.050    56.55     0.15    1e+05
NO1   0.04027    1.2221    0.050   113.89     1.57  5.9e+02
K1    0.04178   18.6776    0.050   114.16     0.14  1.4e+05
J1    0.04329    0.7852    0.050   162.29     3.12  2.4e+02
OO1   0.04483    0.4961    0.050   184.62     3.10       97
UPS1  0.04634    0.1534    0.050   330.07    10.48      9.2
EPS2  0.07618    1.1886    0.031   135.12     1.48  1.5e+03
MU2   0.07769    3.7036    0.031   156.01     0.49  1.4e+04
N2    0.07900   16.4092    0.031   207.50     0.11  2.8e+05
M2    0.08051   55.1387    0.031   243.35     0.03  3.2e+06
L2    0.08202    3.2625    0.031   289.93     0.77  1.1e+04
S2    0.08333    7.0437    0.031   278.56     0.25  5.2e+04
ETA2  0.08507    0.3307    0.031   237.14     3.47  1.1e+02
MO3   0.11924    0.3424    0.026   331.36     3.81  1.8e+02
M3    0.12077    0.6843    0.026   235.44     2.28  7.1e+02
MK3   0.12229    0.5433    0.026     8.32     2.53  4.5e+02
SK3   0.12511    0.3227    0.026   139.00     4.11  1.6e+02
MN4   0.15951    0.9460    0.016   168.01     1.02  3.6e+03
M4    0.16102    1.2358    0.016   171.72     0.78  6.2e+03
SN4   0.16233    0.0322    0.016   228.36    28.86      4.2
MS4   0.16384    0.5202    0.016   311.28     1.78  1.1e+03
S4    0.16667    0.4496    0.016    35.97     1.99  8.2e+02
2MK5  0.20280    0.7798    0.012   288.35     0.86  4.2e+03
2SK5  0.20845    0.9957    0.012   242.53     0.62  6.8e+03
2MN6  0.24002    0.4137    0.007     1.57     1.03  3.8e+03
M6    0.24153    0.6861    0.007    22.80     0.62  1.1e+04
2MS6  0.24436    0.6597    0.007    80.60     0.62  9.8e+03
2SM6  0.24718    0.2342    0.007   101.66     1.68  1.2e+03
3MK7  0.28331    0.3437    0.005   188.98     0.89  4.1e+03
M8    0.32205    0.4546    0.006   284.03     0.90  5.3e+03
