Titulo,Autores,Revista,Año,Link
Seasonal dynamics and forcing mechanisms of the Cape Horn Current: insights from reanalysis data and hydrographic observations,"Garcés-Vargas, José; Piñones, Andrea; Schneider, Wolfgang; Landaeta, Mauricio F; Castillo, Manuel I; Cisternas, Natalia; Barrios-Guzmán, Carmen; Barilari, Fernanda",Progress in Oceanography,2026,https://doi.org/10.1016/j.pocean.2025.103665
Salinity variability in the mixed layer off Chilean Patagonia: potential influence of Patagonian ice fields,"Cisternas, Natalia; Garcés-Vargas, José; Castillo, Manuel I; Barrios-Guzmán, Carmen; Barilari, Fernanda; Landaeta, Mauricio F; Sepúlveda, Maritza; Piñones, Andrea",Progress in Oceanography,2026,https://doi.org/10.1016/j.pocean.2025.103653
Cross-canyon variability in zooplankton backscattering strength in a river-influenced upwelling area,"Díaz-Astudillo, Macarena; Castillo, Manuel I; Figueroa, Pedro A; Castro, Leonardo R; Riquelme-Bugueño, Ramiro; Pérez-Santos, Iván; Pizarro, Oscar; Saldías, Gonzalo S",Ocean Science,2025,https://doi.org/10.5194/os-21-1833-2025
"Coastal zooplankton in the Palmer Archipelago, Western Antarctica Peninsula: Influence of environmental conditions at short-term scale during austral summer","Rodríguez-Stepke, Benjamín; Morales, Claudia; Castillo, Manuel I; Rodríguez, Ángela; Cárdenas, César A; La Mesa, Mario; Hüne, Mathias; Landaeta, Mauricio F",Journal of Marine Systems,2025,https://doi.org/10.1016/j.jmarsys.2025.104047
"Out in the Cold: The ignored influence of glacial melting on Rhincalanus gigas and R. nasutus (Copepoda, Calanoida) morphology in Antarctic waters","Segovia-Jara, Tamara; Benítez, Hugo A; Castillo, Manuel I; La Mesa, Mario; Morales-Garrido, Claudia; Rodríguez-Stepke, Benjamín; Cárdenas, César A; Landaeta, Mauricio F",Marine Environmental Research,2025,https://doi.org/10.1016/j.marenvres.2025.107546
"The answer is blowing in the wind: seasonal hydrography and mixing of the inner sea of Tierra del Fuego, Southern Patagonia","Castillo, Manuel I; Zuñiga, Constanza; Barrios-Guzmán, Carmen; Cisternas, Natalia; Garces-Vargas, José; Landaeta, Mauricio F; Piñones, Andrea; Rojas-Celis, Marcela; Guerrero, Alicia I; Sepúlveda, Maritza",EGUsphere,2025,https://doi.org/10.5194/egusphere-2025-5692
Turbulent Mixing in Patagonian Fjords and Channels,"Rojas-Celis, Marcela; Castillo, Manuel I; Pérez-Santos, Iván; Barrios-Guzmán, Carmen; Garcés-Vargas, José; Guerrero, Alicia; Landaeta, Mauricio F; Piñones, Andrea; Sepúlveda, Maritza",EGUsphere,2025,https://doi.org/10.5194/egusphere-2025-5846
"Morphology and diet are decoupled in nearshore notothenoids from King George Island, West Antarctica","Landaeta, Mauricio F; Pareja, Matías; Hüne, Mathias; Zenteno‐Devaud, Lisette; Vera‐Duarte, Javier; Bernal‐Durán, Valentina; Castillo, Manuel I; La Mesa, Mario",Journal of Fish Biology,2024,https://doi.org/10.1111/jfb.15651
Oceanographic processes driving low-oxygen conditions inside Patagonian fjords,"Linford, Pamela; Pérez-Santos, Iván; Montero, Paulina; Díaz, Patricio A; Aracena, Claudia; Pinilla, Elías; Barrera, Facundo; Castillo, Manuel; Alvera-Azcárate, Aida; Alvarado, Mónica",Biogeosciences,2024,https://doi.org/10.5194/bg-21-1433-2024
"Influence of coastal oceanography on early life history traits of larval Patagonian sprat, Sprattus fuegensis along southeastern Pacific Ocean","López‐Soto, Erika; Ord, Gillian; Castillo, Manuel I; Plaza, Guido; Cáceres, Mario A; González, María Teresa; Sepúlveda, Maritza; Guerrero, Alicia I; Piñones, Andrea; Landaeta, Mauricio F",Fisheries Oceanography,2024,https://doi.org/10.1111/fog.12690
